R,G,B,Color
231,15,60,Rosa
24,63,229,Azul
32,114,134,Azul
73,203,197,Azul
201,64,139,Rosa
100,34,146,Violeta
104,124,76,Verde
237,23,6,Rojo
84,24,253,Azul
207,221,69,Amarillo
226,158,50,Naranja
76,21,88,Violeta
146,70,179,Violeta
18,240,118,Verde
146,253,227,Verde
120,112,15,Verde
40,181,201,Azul
122,234,187,Verde
131,111,1,Verde
96,123,96,Gris
47,131,241,Azul
153,96,246,Violeta
187,109,167,Rosa
194,191,49,Amarillo
237,168,135,Naranja
20,240,35,Verde
159,254,27,Verde
93,16,175,Violeta
26,4,250,Azul
164,229,160,Verde
162,24,143,Rosa
147,127,137,Gris
213,85,199,Rosa
187,52,84,Rosa
252,229,113,Amarillo
248,89,204,Rosa
93,108,230,Azul
215,95,12,Naranja
144,205,203,Verde
179,19,115,Rosa
213,64,139,Rosa
214,79,12,Naranja
44,183,126,Verde
247,183,133,Naranja
150,242,18,Verde
212,171,201,Rosa
110,12,97,Violeta
72,198,20,Verde
115,101,51,Marron
187,86,150,Rosa
249,135,7,Naranja
164,105,248,Violeta
74,148,136,Verde
113,196,74,Verde
201,34,192,Rosa
79,18,222,Azul
0,157,138,Verde
107,128,105,Gris
140,20,70,Rosa
132,218,15,Verde
167,202,217,Azul
215,142,209,Rosa
126,38,126,Rosa
199,225,240,Azul
96,78,130,Violeta
125,253,242,Azul
164,86,80,Marron
180,249,170,Verde
85,233,90,Verde
199,233,203,Verde
90,154,76,Verde
54,187,79,Verde
125,43,30,Marron
35,34,66,Azul
243,33,165,Rosa
1,119,93,Verde
91,206,23,Verde
54,240,229,Verde
157,168,249,Azul
100,211,172,Verde
49,194,108,Verde
98,115,97,Gris
42,49,89,Azul
50,157,15,Verde
56,132,76,Verde
92,203,37,Verde
96,153,95,Verde
55,25,104,Violeta
55,118,237,Azul
139,157,154,Gris
228,91,251,Rosa
6,218,230,Azul
222,10,80,Rosa
9,132,209,Azul
158,56,220,Violeta
99,24,41,Marron
222,101,221,Rosa
117,129,227,Azul
37,236,19,Verde
228,183,138,Marron
9,228,206,Verde
183,16,203,Rosa
74,222,101,Verde
176,253,108,Verde
124,197,25,Verde
169,231,234,Azul
195,248,212,Verde
159,110,233,Violeta
187,90,38,Marron
177,251,233,Verde
209,185,127,Marron
148,152,109,Verde
13,24,227,Azul
34,251,11,Verde
136,128,148,Violeta
128,76,189,Violeta
250,11,126,Rosa
148,175,65,Verde
100,70,139,Violeta
222,187,175,Marron
6,207,15,Verde
32,2,42,Violeta
140,133,31,Verde
196,138,75,Marron
170,103,140,Rosa
129,3,158,Rosa
178,135,94,Marron
79,43,164,Azul
234,205,4,Amarillo
207,112,105,Rosa
67,6,95,Violeta
216,187,235,Violeta
20,230,66,Verde
3,88,41,Verde
219,124,89,Naranja
110,137,90,Verde
168,127,98,Marron
79,30,185,Azul
54,238,248,Azul
42,82,224,Azul
128,4,95,Rosa
170,119,95,Marron
2,250,110,Verde
88,75,176,Azul
120,181,117,Verde
65,224,187,Verde
229,22,242,Rosa
191,121,110,Marron
115,10,109,Violeta
92,107,247,Azul
155,180,197,Azul
69,44,84,Violeta
84,201,197,Verde
7,34,18,Verde
72,191,249,Azul
51,53,126,Azul
109,96,41,Marron
35,65,88,Azul
17,173,96,Verde
165,158,189,Rosa
153,221,50,Verde
122,40,228,Violeta
210,36,105,Rosa
190,223,111,Verde
120,244,253,Azul
207,244,229,Verde
14,118,139,Azul
153,154,24,Verde
198,237,249,Azul
146,97,184,Violeta
35,176,27,Verde
68,45,203,Azul
1,247,169,Verde
67,90,56,Verde
96,198,3,Verde
152,237,10,Verde
181,171,2,Amarillo
122,23,133,Violeta
186,47,95,Rosa
229,58,166,Rosa
69,85,150,Azul
131,107,11,Marron
55,192,161,Verde
71,125,226,Azul
67,28,196,Azul
117,181,80,Verde
229,185,186,Rosa
120,120,120,Gris
29,74,18,Verde
70,213,238,Azul
162,1,129,Rosa
30,40,67,Violeta
164,116,242,Violeta
115,233,181,Verde
76,4,8,Marron
101,190,184,Verde
135,190,83,Verde
72,228,88,Verde
59,183,152,Verde
235,222,85,Amarillo
20,131,231,Azul
35,142,53,Verde
230,49,147,Rosa
78,150,192,Azul
157,121,220,Rosa
147,53,75,Marron
6,149,209,Azul
123,239,227,Verde
205,85,150,Rosa
122,39,144,Violeta
199,19,240,Rosa
145,215,190,Verde
31,60,63,Verde
179,244,226,Verde
219,220,186,Verde
34,197,28,Verde
168,190,32,Verde
2,71,158,Azul
238,80,21,Naranja
191,140,49,Marron
199,31,155,Rosa
15,143,148,Azul
32,97,29,Verde
43,77,186,Azul
60,11,84,Violeta
26,86,254,Azul
105,66,152,Violeta
174,221,94,Verde
40,177,88,Verde
189,174,180,Gris
8,175,154,Verde
74,220,219,Azul
121,178,183,Gris
107,71,222,Violeta
169,213,160,Verde
229,240,86,Amarillo
249,137,157,Rosa
201,157,44,Marron
119,144,38,Verde
188,229,226,Verde
76,187,67,Verde
221,52,249,Rosa
174,233,91,Verde
248,55,15,Rojo
174,28,150,Rosa
191,205,98,Verde
113,206,41,Verde
210,33,190,Rosa
159,246,224,Verde
195,110,19,Marron
73,17,171,Azul
252,241,233,Blanco
202,123,172,Rosa
79,90,5,Verde
205,112,113,Rosa
125,248,226,Verde
167,147,124,Gris
13,58,246,Azul
184,109,139,Rosa
19,96,217,Azul
77,211,119,Verde
87,176,74,Verde
181,128,28,Marron
145,183,215,Azul
148,232,0,Verde
23,159,174,Azul
122,232,125,Verde
98,116,99,Gris
115,125,178,Violeta
177,157,0,Amarillo
12,249,121,Verde
168,172,202,Violeta
221,211,11,Amarillo
114,247,58,Verde
162,215,94,Verde
128,184,246,Azul
2,7,204,Azul
182,109,159,Rosa
51,87,240,Azul
35,36,61,Violeta
163,253,92,Verde
30,57,136,Azul
53,42,252,Azul
71,17,91,Violeta
71,74,223,Azul
104,18,188,Violeta
114,187,18,Verde
203,115,23,Marron
230,93,43,Naranja
147,221,41,Verde
60,226,61,Verde
80,95,201,Azul
223,152,61,Naranja
59,46,42,Gris
156,144,45,Verde
63,205,153,Verde
197,115,185,Rosa
130,130,130,Gris
231,128,94,Naranja
20,89,24,Verde
65,125,123,Verde
143,146,218,Violeta
46,155,194,Azul
193,177,233,Violeta
242,34,9,Rojo
220,120,90,Rojo
240,45,126,Rosa
20,222,197,Verde
87,129,132,Azul
128,196,105,Verde
234,141,208,Rosa
189,248,77,Verde
247,53,94,Rosa
204,205,247,Violeta
201,233,157,Verde
94,13,222,Azul
183,187,187,Gris
87,148,42,Verde
176,231,77,Verde
195,142,11,Marron
1,111,117,Azul
195,132,103,Marron
66,227,191,Verde
88,35,56,Marron
123,99,207,Violeta
243,149,98,Naranja
202,201,24,Amarillo
48,8,190,Azul
221,127,20,Naranja
240,206,72,Amarillo
62,81,3,Verde
5,19,229,Azul
135,37,59,Rosa
43,229,122,Verde
133,40,27,Marron
55,53,138,Azul
159,122,90,Marron
243,215,47,Amarillo
56,128,184,Azul
60,29,223,Azul
25,194,80,Verde
246,72,245,Rosa
237,69,233,Rosa
218,82,77,Rojo
211,136,229,Rosa
19,13,75,Azul
141,142,11,Verde
207,105,252,Rosa
143,77,224,Violeta
231,12,234,Rosa
165,114,41,Marron
68,244,12,Verde
204,7,233,Rosa
235,3,189,Rosa
169,55,5,Marron
110,235,19,Verde
169,156,179,Gris
5,247,157,Verde
150,10,91,Violeta
95,58,22,Marron
83,215,214,Azul
69,14,240,Azul
72,18,219,Azul
166,239,214,Verde
199,224,241,Azul
220,57,28,Naranja
180,130,236,Violeta
82,169,128,Verde
239,173,169,Rojo
206,99,62,Naranja
125,125,125,Gris
219,143,181,Rosa
141,173,250,Azul
17,91,221,Azul
62,59,252,Azul
114,160,218,Azul
167,124,102,Marron
204,48,145,Rosa
80,144,186,Azul
148,207,98,Verde
186,112,39,Marron
151,70,222,Violeta
111,198,67,Verde
165,240,20,Verde
220,227,38,Amarillo
142,170,123,Verde
245,80,23,Rojo
120,26,5,Marron
13,191,8,Verde
101,0,248,Azul
56,251,197,Verde
72,153,14,Verde
180,69,92,Rosa
203,75,249,Rosa
34,103,152,Azul
179,71,6,Marron
39,74,239,Azul
95,106,1,Verde
251,215,93,Amarillo
140,51,31,Marron
209,57,132,Rosa
46,137,135,Azul
173,1,92,Rosa
1,6,229,Azul
101,76,21,Marron
133,123,7,Verde
86,163,60,Verde
239,61,198,Rosa
110,145,63,Verde
149,234,80,Verde
83,158,215,Azul
170,165,156,Gris
173,71,215,Rosa
170,150,45,Verde
49,132,99,Verde
114,208,211,Azul
236,239,154,Amarillo
78,92,46,Verde
252,171,40,Naranja
162,129,1,Verde
246,118,99,Naranja
148,85,60,Marron
16,76,160,Azul
12,5,42,Azul
51,249,131,Verde
128,233,202,Verde
61,203,194,Verde
217,26,95,Rosa
71,51,80,Violeta
61,127,159,Azul
13,67,65,Verde
37,254,62,Verde
139,139,164,Violeta
139,67,74,Marron
137,37,2,Marron
232,31,179,Rosa
126,193,109,Verde
101,43,107,Violeta
247,165,79,Naranja
130,52,98,Violeta
152,42,27,Marron
245,58,75,Rojo
4,249,212,Azul
19,127,104,Verde
248,118,171,Rosa
201,129,93,Marron
64,80,27,Verde
254,102,188,Rosa
205,25,228,Rosa
196,157,52,Amarillo
148,101,239,Violeta
244,254,169,Amarillo
169,49,52,Rojo
37,53,135,Azul
131,97,60,Marron
213,179,7,Amarillo
246,25,203,Rosa
70,78,142,Azul
140,248,129,Verde
197,30,165,Rosa
120,123,233,Azul
229,249,59,Amarillo
172,78,160,Rosa
26,204,231,Azul
161,153,7,Verde
170,132,118,Marron
105,124,214,Azul
50,73,171,Azul
110,96,204,Azul
39,63,13,Verde
209,219,16,Amarillo
89,14,191,Azul
74,181,179,Verde
178,156,246,Violeta
225,160,112,Naranja
120,41,87,Violeta
228,139,154,Rojo
68,205,249,Azul
220,47,140,Rosa
235,167,133,Naranja
43,59,201,Azul
163,185,121,Verde
138,96,202,Violeta
202,57,125,Rosa
59,179,85,Verde
187,237,228,Verde
92,39,137,Violeta
174,101,34,Marron
8,27,198,Azul
80,125,31,Verde
175,247,139,Verde
85,31,74,Violeta
134,0,144,Rosa
9,199,98,Verde
253,21,122,Rosa
90,3,81,Violeta
66,61,30,Verde
22,236,214,Azul
83,233,103,Verde
219,71,92,Rojo
119,192,150,Verde
67,118,160,Azul
28,115,202,Azul
156,209,66,Verde
155,134,18,Verde
69,1,24,Rosa
228,189,184,Rojo
205,60,59,Rojo
5,91,179,Azul
23,183,94,Verde
97,178,41,Verde
204,155,147,Rojo
123,223,68,Verde
85,52,94,Violeta
137,65,152,Violeta
142,27,154,Violeta
126,153,140,Gris
39,180,217,Azul
239,215,170,Amarillo
45,188,153,Verde
144,160,44,Verde
44,111,120,Azul
42,227,207,Verde
82,224,19,Verde
48,143,67,Verde
12,43,46,Azul
81,234,68,Verde
248,150,15,Naranja
184,245,78,Verde
104,53,47,Marron
153,73,201,Rosa
82,135,138,Azul
249,28,30,Rojo
152,2,147,Rosa
188,107,149,Rosa
211,162,112,Marron
239,133,203,Rosa
215,32,95,Rojo
252,73,191,Rosa
208,217,128,Verde
217,90,158,Rosa
32,131,41,Verde
131,102,145,Violeta
93,7,16,Marron
85,159,25,Verde
252,35,208,Rosa
114,252,105,Verde
125,210,134,Verde
58,37,55,Violeta
67,178,227,Azul
195,45,131,Rosa
244,2,251,Rosa
45,9,107,Azul
119,121,186,Azul
233,90,21,Naranja
189,211,32,Amarillo
112,37,250,Violeta
74,243,92,Verde
195,241,142,Verde
183,221,58,Verde
152,244,166,Verde
43,142,144,Azul
59,181,248,Azul
159,248,157,Verde
131,73,15,Marron
232,84,65,Rojo
227,50,54,Rojo
195,165,161,Marron
151,162,25,Verde
133,28,193,Violeta
82,245,84,Verde
186,93,30,Marron
237,126,98,Rojo
180,144,4,Verde
165,74,83,Rojo
50,151,31,Verde
62,194,243,Azul
181,105,88,Marron
76,155,133,Verde
174,224,32,Verde
143,251,58,Verde
194,121,12,Naranja
68,11,230,Azul
106,39,10,Marron
28,48,96,Azul
75,225,168,Verde
45,101,115,Azul
153,252,9,Verde
96,217,73,Verde
47,75,71,Gris
226,236,28,Amarillo
103,233,82,Verde
18,11,144,Azul
65,137,194,Azul
164,244,169,Verde
125,216,249,Azul
215,18,80,Rojo
87,74,20,Verde
215,108,60,Naranja
14,4,243,Azul
207,97,23,Naranja
118,152,7,Verde
87,68,246,Azul
171,75,50,Marron
33,227,71,Verde
108,158,192,Azul
75,144,176,Azul
169,90,236,Rosa
58,106,91,Verde
165,84,204,Violeta
89,20,34,Marron
238,122,164,Rosa
69,239,136,Verde
67,128,31,Verde
201,125,179,Verde
226,66,183,Rosa
210,68,185,Rosa
31,16,208,Azul
105,105,152,Azul
171,225,249,Azul
217,80,219,Rosa
89,18,17,Marron
122,11,42,Rojo
240,62,128,Rojo
183,98,222,Violeta
181,248,15,Verde
185,158,166,Gris
165,211,10,Verde
174,126,123,Marron
245,20,169,Rosa
206,185,218,Azul
144,20,36,Rojo
234,227,148,Amarillo
237,45,66,Rojo
117,176,42,Verde
105,229,23,Verde
199,176,32,Amarillo
144,241,249,Azul
15,252,165,Verde
133,87,102,Violeta
0,253,115,Verde
134,5,106,Violeta
150,166,140,Verde
209,118,100,Naranja
107,141,23,Verde
214,224,154,Verde
76,141,210,Azul
167,9,55,Rojo
1,140,175,Azul
203,166,10,Amarillo
37,108,182,Azul
34,20,85,Azul
252,229,92,Amarillo
136,11,8,Rojo
71,210,125,Verde
122,221,132,Verde
253,64,161,Rosa
16,229,249,Azul
206,162,89,Marron
226,196,24,Amarillo
228,53,148,Rosa
45,11,64,Violeta
79,184,63,Verde
34,30,151,Azul
192,50,171,Rosa
237,112,162,Rosa
85,169,225,Azul
103,100,246,Azul
36,81,59,Verde
67,224,59,Verde
130,202,85,Verde
61,82,18,Verde
251,118,190,Rosa
196,70,138,Rosa
167,110,212,Violeta
57,74,154,Azul
45,216,247,Azul
252,78,204,Rosa
177,57,173,Violeta
108,136,107,Verde
8,143,41,Verde
41,122,243,Azul
241,237,85,Amarillo
88,219,57,Verde
182,61,119,Rosa
54,118,100,Verde
67,10,188,Azul
87,99,201,Azul
214,145,138,Rojo
7,181,11,Verde
2,193,184,Azul
208,189,64,Amarillo
98,93,244,Azul
76,60,9,Marron
217,169,48,Amarillo
171,240,191,Verde
187,17,168,Rosa
155,107,84,Marron
197,69,2,Naranja
237,64,158,Rosa
67,189,237,Azul
248,61,147,Rosa
16,103,114,Azul
174,65,47,Rojo
244,92,246,Rosa
94,108,178,Azul
198,249,4,Amarillo
226,218,234,Gris
69,139,20,Verde
19,85,197,Azul
249,204,191,Naranja
197,200,56,Verde
12,16,138,Azul
161,61,212,Violeta
34,36,215,Azul
107,16,191,Violeta
70,187,130,Verde
40,209,172,Verde
51,92,204,Azul
187,38,182,Rosa
135,96,28,Marron
5,125,250,Azul
11,248,38,Verde
33,253,214,Verde
185,245,115,Verde
118,253,28,Verde
20,76,214,Azul
247,180,5,Naranja
100,126,200,Azul
235,156,198,Rosa
230,104,223,Rosa
223,181,249,Violeta
133,133,133,Gris
32,123,0,Verde
17,2,149,Azul
45,129,16,Verde
242,242,11,Amarillo
33,57,20,Verde
110,29,3,Marron
36,221,9,Verde
65,250,78,Verde
121,121,121,Gris
166,209,227,Azul
231,234,253,Violeta
72,31,134,Violeta
210,206,234,Violeta
3,94,144,Azul
62,219,97,Verde
16,161,94,Verde
153,146,30,Verde
245,116,195,Rosa
144,232,125,Verde
218,35,153,Rosa
250,163,51,Naranja
21,147,125,Verde
58,254,99,Verde
137,66,68,Marron
80,39,91,Violeta
35,39,92,Violeta
65,144,68,Verde
100,179,14,Verde
38,168,140,Verde
156,212,105,Verde
44,37,113,Azul
137,51,240,Violeta
158,29,217,Rosa
158,158,158,Gris
192,236,15,Amarillo
30,61,254,Azul
88,218,50,Verde
187,123,158,Rosa
80,130,207,Azul
187,166,55,Amarillo
38,186,172,Azul
167,203,62,Verde
76,200,125,Verde
44,8,44,Violeta
234,159,174,Rojo
224,114,28,Naranja
1,33,230,Azul
8,156,127,Verde
144,37,186,Violeta
166,229,142,Verde
154,153,123,Gris
8,22,215,Azul
67,152,91,Verde
43,112,181,Azul
228,84,214,Rosa
74,239,117,Verde
47,74,13,Verde
244,184,77,Naranja
164,8,50,Rojo
186,93,229,Rosa
221,172,11,Naranja
191,13,19,Rojo
139,231,168,Verde
86,23,144,Violeta
73,161,124,Verde
61,79,35,Verde
192,28,52,Rojo
185,115,138,Rosa
94,104,250,Azul
72,218,182,Verde
164,247,217,Verde
184,71,242,Violeta
241,85,185,Rosa
222,200,80,Amarillo
31,132,202,Azul
87,135,12,Verde
44,245,201,Verde
212,45,202,Rosa
204,113,33,Naranja
197,204,251,Azul
82,29,210,Azul
182,31,173,Rosa
0,43,225,Azul
108,246,54,Verde
210,130,229,Violeta
80,57,134,Violeta
76,32,221,Azul
63,109,22,Verde
42,148,44,Verde
90,223,66,Verde
237,74,202,Rosa
3,128,220,Azul
248,57,58,Rojo
65,143,15,Verde
122,190,200,Azul
148,176,246,Azul
216,47,113,Rojo
24,20,171,Azul
137,122,143,Gris
29,98,51,Verde
45,177,172,Azul
114,137,94,Verde
63,67,164,Azul
250,80,163,Rosa
34,243,1,Verde
22,247,106,Verde
19,249,238,Azul
235,224,4,Amarillo
219,29,246,Rosa
97,158,109,Verde
66,27,207,Azul
38,108,14,Verde
36,175,140,Verde
166,78,49,Marron
18,74,210,Azul
178,202,107,Verde
108,75,98,Violeta
218,44,212,Rosa
61,249,121,Verde
119,43,184,Violeta
168,254,29,Verde
244,44,72,Rojo
52,166,55,Verde
121,106,76,Gris
218,19,192,Rosa
85,184,229,Azul
76,176,54,Verde
103,173,158,Verde
165,96,7,Marron
241,176,37,Naranja
176,151,162,Violeta
31,103,26,Verde
42,120,152,Azul
102,175,198,Azul
14,196,29,Verde
35,147,35,Verde
39,67,15,Verde
119,147,60,Verde
143,48,181,Rosa
12,186,241,Azul
21,80,243,Azul
102,90,20,Marron
242,211,50,Amarillo
4,66,238,Azul
134,224,20,Verde
183,58,214,Rosa
92,64,152,Violeta
68,43,252,Azul
75,44,233,Azul
95,8,47,Rosa
179,108,104,Rojo
38,21,88,Azul
180,111,160,Violeta
218,30,192,Rosa
177,32,71,Rojo
243,210,219,Rojo
155,224,198,Verde
39,254,78,Verde
28,49,49,Verde
179,61,239,Rosa
38,83,88,Verde
168,88,204,Violeta
253,83,214,Rosa
33,22,248,Azul
223,91,154,Rosa
6,206,245,Azul
220,33,210,Rosa
204,188,12,Amarillo
67,153,30,Verde
6,9,16,Negro
206,137,120,Marron
202,43,125,Rosa
50,150,212,Azul
3,77,95,Azul
161,195,240,Azul
192,29,190,Rosa
245,50,98,Rojo
217,136,126,Marron
137,93,150,Violeta
58,249,250,Azul
131,95,201,Violeta
43,246,160,Verde
15,205,124,Verde
225,39,120,Rosa
208,215,46,Amarillo
29,68,152,Azul
53,123,80,Verde
44,159,110,Verde
98,217,127,Verde
227,215,133,Amarillo
182,38,81,Rojo
27,203,3,Verde
199,108,23,Naranja
201,215,178,Verde
218,202,42,Amarillo
158,30,56,Rojo
220,116,78,Naranja
225,235,44,Amarillo
80,200,246,Azul
18,152,65,Verde
167,71,182,Rosa
202,184,39,Amarillo
245,238,156,Amarillo
109,145,37,Verde
15,88,121,Azul
128,181,250,Azul
117,184,169,Verde
190,131,220,Rosa
15,129,132,Verde
30,214,132,Verde
228,135,41,Naranja
224,126,98,Marron
207,28,26,Rojo
21,36,134,Azul
23,51,164,Azul
34,88,52,Verde
68,15,2,Marron
90,217,186,Verde
212,57,132,Rosa
154,136,42,Verde
106,179,71,Verde
95,133,30,Verde
1,131,217,Azul
56,111,48,Verde
232,88,66,Rojo
105,80,61,Marron
130,76,36,Marron
94,250,212,Verde
252,167,138,Naranja
253,96,190,Rosa
136,212,254,Azul
174,188,1,Verde
227,136,146,Rojo
107,237,217,Azul
26,121,111,Verde
122,30,207,Violeta
13,77,45,Verde
38,222,179,Verde
167,24,220,Violeta
90,20,154,Violeta
104,139,69,Verde
10,139,33,Verde
172,19,211,Violeta
196,205,15,Amarillo
16,223,143,Verde
176,176,176,Gris
105,47,34,Marron
70,5,176,Azul
236,144,4,Naranja
208,177,25,Amarillo
48,131,77,Verde
229,188,152,Marron
64,30,176,Azul
125,159,86,Verde
161,236,83,Verde
210,191,64,Amarillo
33,17,183,Azul
245,34,34,Rojo
170,108,19,Marron
213,167,231,Violeta
198,211,84,Verde
204,188,6,Amarillo
80,89,222,Azul
26,89,86,Verde
98,61,192,Violeta
82,101,107,Gris
102,171,118,Verde
138,99,170,Violeta
4,253,159,Verde
251,158,192,Rosa
162,150,163,Gris
83,139,227,Azul
163,250,150,Verde
40,126,239,Azul
100,224,128,Verde
236,172,254,Rosa
242,75,245,Rosa
41,5,1,Marron
30,71,134,Azul
127,0,54,Rosa
207,237,242,Azul
89,105,19,Verde
192,236,204,Verde
54,252,37,Verde
42,195,33,Verde
41,191,51,Verde
179,22,33,Rojo
247,234,78,Amarillo
141,229,4,Verde
253,237,145,Amarillo
123,202,242,Azul
27,46,80,Azul
206,196,17,Amarillo
130,2,12,Rojo
84,101,161,Azul
180,80,176,Rosa
135,16,205,Violeta
53,171,67,Verde
21,51,171,Azul
158,77,120,Violeta
138,159,19,Verde
23,209,25,Verde
134,46,175,Violeta
54,218,38,Verde
199,55,233,Rosa
72,86,125,Azul
129,130,51,Verde
29,99,25,Verde
156,57,148,Violeta
125,11,40,Rojo
188,183,193,Gris
234,126,74,Naranja
77,79,224,Azul
167,174,15,Verde
59,160,198,Azul
220,93,187,Rosa
245,127,200,Rosa
42,245,79,Verde
82,179,93,Verde
94,82,115,Violeta
111,248,209,Verde
211,201,78,Amarillo
83,130,156,Azul
65,83,157,Azul
53,40,200,Azul
246,150,8,Naranja
205,58,39,Rojo
5,253,113,Verde
191,243,57,Verde
248,58,166,Rosa
108,136,121,Gris
168,131,253,Violeta
226,81,197,Rosa
29,193,91,Verde
95,245,241,Azul
215,43,61,Rojo
194,40,242,Rosa
229,88,84,Rojo
112,152,21,Verde
83,12,19,Marron
240,24,223,Rosa
103,4,68,Violeta
52,122,20,Verde
119,106,224,Azul
51,67,168,Azul
129,27,196,Violeta
128,178,183,Azul
59,254,88,Verde
123,225,170,Verde
221,89,191,Rosa
106,165,139,Verde
13,22,159,Azul
81,217,107,Verde
244,133,168,Rosa
37,105,217,Azul
141,26,42,Rojo
117,182,49,Verde
63,173,229,Azul
56,165,143,Verde
78,31,131,Violeta
209,85,178,Rosa
16,148,24,Verde
186,33,217,Rosa
40,191,78,Verde
49,109,11,Verde
84,111,219,Azul
106,75,148,Violeta
227,129,70,Naranja
94,3,6,Marron
200,71,242,Rosa
184,194,67,Amarillo
143,140,75,Verde
166,228,25,Verde
44,61,6,Verde
111,165,93,Verde
135,166,203,Azul
213,2,18,Rojo
208,247,211,Verde
62,242,180,Verde
40,144,123,Verde
189,117,214,Rosa
100,156,22,Verde
76,125,48,Verde
59,121,70,Verde
186,37,140,Rosa
13,146,186,Azul
152,205,156,Verde
188,98,92,Rojo
196,95,70,Marron
60,173,78,Verde
71,26,84,Violeta
75,117,231,Azul
215,34,35,Rojo
222,152,17,Naranja
93,53,242,Azul
102,58,25,Marron
176,241,227,Verde
102,150,118,Verde
66,252,188,Verde
107,243,179,Verde
63,180,159,Verde
98,244,221,Verde
110,24,158,Violeta
208,178,216,Violeta
183,89,250,Violeta
167,138,168,Violeta
126,9,149,Violeta
84,22,215,Azul
90,70,133,Azul
66,36,185,Azul
214,66,248,Rosa
235,101,240,Rosa
231,217,31,Amarillo
51,237,110,Verde
251,129,41,Naranja
219,11,135,Rosa
30,161,234,Azul
14,64,238,Azul
182,197,244,Azul
146,25,48,Rojo
31,30,49,Negro
55,251,28,Verde
76,2,5,Marron
123,228,219,Azul
17,31,114,Azul
144,170,121,Verde
8,50,51,Verde
159,6,60,Rojo
140,139,148,Gris
218,90,88,Rojo
180,224,160,Verde
172,65,159,Violeta
27,203,177,Verde
17,3,91,Azul
77,203,124,Verde
122,185,144,Verde
76,64,174,Azul
223,87,18,Naranja
15,10,95,Azul
219,31,82,Rojo
25,226,139,Verde
62,49,223,Azul
88,97,143,Azul
20,189,65,Verde
217,19,62,Rojo
102,112,74,Verde
128,24,125,Violeta
203,233,33,Amarillo
159,105,170,Violeta
73,201,7,Verde
173,136,31,Marron
137,17,229,Violeta
69,145,224,Azul
2,198,230,Azul
227,4,75,Rojo
210,235,238,Azul
42,41,200,Azul
109,12,118,Violeta
69,209,120,Verde
158,169,224,Violeta
193,1,20,Rojo
190,120,46,Marron
80,95,97,Gris
199,49,29,Rojo
77,127,12,Verde
188,184,254,Violeta
130,216,82,Verde
121,161,101,Verde
26,130,77,Verde
57,8,239,Azul
32,52,2,Verde
74,71,228,Azul
235,205,50,Amarillo
6,167,6,Verde
71,142,64,Verde
190,29,127,Rosa
66,121,125,Gris
74,10,116,Violeta
104,217,49,Verde
169,138,135,Marron
80,238,67,Verde
116,207,224,Azul
253,102,17,Naranja
43,166,96,Verde
221,59,133,Rosa
200,170,83,Marron
240,138,84,Naranja
65,58,137,Azul
29,41,88,Azul
248,90,188,Rosa
250,115,231,Rosa
60,251,9,Verde
95,242,185,Verde
224,89,16,Naranja
8,185,105,Verde
24,244,187,Verde
209,233,131,Verde
3,60,186,Azul
187,14,240,Violeta
234,128,236,Rosa
121,181,156,Verde
117,154,14,Verde
154,10,106,Violeta
247,111,184,Rosa
33,81,47,Verde
166,182,179,Gris
221,87,124,Rosa
217,244,200,Verde
156,36,50,Rojo
163,91,168,Violeta
188,215,23,Verde
