R,G,B,Color
15,126,6,verde_oscuro
18,140,3,verde_oscuro
2,162,20,verde_oscuro
0,89,4,verde_oscuro
0,101,2,verde_oscuro
4,138,1,verde_oscuro
0,142,9,verde_oscuro
5,156,5,verde_oscuro
0,95,6,verde_oscuro
9,110,0,verde_oscuro
3,129,8,verde_oscuro
9,149,10,verde_oscuro
6,167,1,verde_oscuro
0,88,0,verde_oscuro
9,100,6,verde_oscuro
0,123,10,verde_oscuro
0,142,2,verde_oscuro
3,162,10,verde_oscuro
59,161,116,esmeralda
71,184,115,esmeralda
79,202,139,esmeralda
87,218,140,esmeralda
96,248,148,esmeralda
56,155,94,esmeralda
58,179,101,esmeralda
61,197,130,esmeralda
61,213,140,esmeralda
62,246,140,esmeralda
42,169,94,esmeralda
49,190,108,esmeralda
52,199,105,esmeralda
52,215,127,esmeralda
57,238,139,esmeralda
16,165,85,esmeralda
26,183,96,esmeralda
36,203,107,esmeralda
23,229,108,esmeralda
30,236,124,esmeralda
14,158,81,esmeralda
6,182,78,esmeralda
20,201,98,esmeralda
16,227,113,esmeralda
12,251,111,esmeralda
153,202,153,verde_claro
159,211,162,verde_claro
188,240,184,verde_claro
193,255,193,verde_claro
191,247,189,verde_claro
142,206,130,verde_claro
150,222,141,verde_claro
158,233,152,verde_claro
170,250,164,verde_claro
165,255,173,verde_claro
127,191,110,verde_claro
128,228,128,verde_claro
154,231,152,verde_claro
163,255,159,verde_claro
154,255,160,verde_claro
104,208,96,verde_claro
112,220,110,verde_claro
134,233,129,verde_claro
142,254,129,verde_claro
129,255,134,verde_claro
89,200,94,verde_claro
109,220,106,verde_claro
113,242,111,verde_claro
117,253,106,verde_claro
121,255,110,verde_claro
42,220,214,cian
26,232,245,cian
41,247,255,cian
48,248,254,cian
39,255,255,cian
23,222,219,cian
17,239,233,cian
25,255,248,cian
22,255,255,cian
12,250,251,cian
10,225,211,cian
9,237,228,cian
0,255,255,cian
0,255,252,cian
1,255,255,cian
0,212,208,cian
9,227,242,cian
0,246,255,cian
0,255,255,cian
0,255,255,cian
6,208,224,cian
2,231,237,cian
0,247,255,cian
0,255,255,cian
4,255,255,cian
76,180,182,turquesa
92,205,202,turquesa
96,230,213,turquesa
105,251,231,turquesa
102,255,249,turquesa
66,188,168,turquesa
72,213,200,turquesa
78,233,199,turquesa
87,252,221,turquesa
81,249,236,turquesa
50,181,163,turquesa
68,211,192,turquesa
74,218,211,turquesa
61,235,230,turquesa
81,252,228,turquesa
30,180,168,turquesa
40,214,182,turquesa
48,214,203,turquesa
51,251,217,turquesa
63,255,238,turquesa
28,183,175,turquesa
22,200,177,turquesa
22,217,206,turquesa
27,247,215,turquesa
32,255,227,turquesa
34,163,175,turquesa_claro
21,193,192,turquesa_claro
37,200,203,turquesa_claro
30,224,236,turquesa_claro
37,254,243,turquesa_claro
6,170,175,turquesa_claro
4,180,182,turquesa_claro
15,202,202,turquesa_claro
23,230,228,turquesa_claro
24,240,253,turquesa_claro
9,164,176,turquesa_claro
0,191,185,turquesa_claro
0,212,211,turquesa_claro
1,217,234,turquesa_claro
2,249,245,turquesa_claro
0,160,168,turquesa_claro
7,185,190,turquesa_claro
9,206,211,turquesa_claro
5,228,230,turquesa_claro
0,247,254,turquesa_claro
4,177,176,turquesa_claro
0,186,195,turquesa_claro
7,211,205,turquesa_claro
0,230,230,turquesa_claro
4,245,240,turquesa_claro
28,25,213,azul
26,40,244,azul
36,44,255,azul
47,36,255,azul
40,40,255,azul
8,11,217,azul
27,9,245,azul
20,12,250,azul
19,16,248,azul
17,22,251,azul
7,0,226,azul
7,0,233,azul
0,2,255,azul
1,0,249,azul
3,2,253,azul
0,0,222,azul
0,0,225,azul
0,8,255,azul
5,5,255,azul
5,0,255,azul
1,2,207,azul
0,0,231,azul
0,9,255,azul
0,0,255,azul
0,0,254,azul
7,21,99,azul_marino
10,17,102,azul_marino
19,22,119,azul_marino
22,19,155,azul_marino
23,16,165,azul_marino
11,16,86,azul_marino
3,16,108,azul_marino
7,3,132,azul_marino
13,7,151,azul_marino
22,21,174,azul_marino
0,0,97,azul_marino
0,8,107,azul_marino
2,0,120,azul_marino
5,0,153,azul_marino
6,8,169,azul_marino
3,6,88,azul_marino
8,0,115,azul_marino
5,0,123,azul_marino
0,0,138,azul_marino
3,0,157,azul_marino
0,0,86,azul_marino
0,9,113,azul_marino
0,9,130,azul_marino
0,1,143,azul_marino
6,0,159,azul_marino
119,136,204,azul_cornflower
125,158,211,azul_cornflower
133,179,234,azul_cornflower
136,193,245,azul_cornflower
150,190,252,azul_cornflower
89,128,198,azul_cornflower
103,152,219,azul_cornflower
111,170,244,azul_cornflower
127,172,255,azul_cornflower
134,174,255,azul_cornflower
73,126,196,azul_cornflower
99,128,215,azul_cornflower
102,154,234,azul_cornflower
105,153,254,azul_cornflower
97,160,255,azul_cornflower
77,120,191,azul_cornflower
70,118,208,azul_cornflower
73,137,230,azul_cornflower
95,141,255,azul_cornflower
93,148,252,azul_cornflower
58,101,188,azul_cornflower
61,122,215,azul_cornflower
69,128,230,azul_cornflower
60,142,255,azul_cornflower
73,131,255,azul_cornflower
214,35,207,magenta
227,38,228,magenta
249,31,255,magenta
252,30,247,magenta
251,33,255,magenta
217,12,218,magenta
244,23,227,magenta
249,10,252,magenta
253,10,253,magenta
255,23,255,magenta
207,6,208,magenta
241,0,244,magenta
255,1,250,magenta
255,0,249,magenta
246,0,246,magenta
208,2,209,magenta
231,0,227,magenta
255,8,251,magenta
255,0,255,magenta
247,0,255,magenta
210,10,218,magenta
235,0,235,magenta
251,0,252,magenta
255,0,255,magenta
255,0,247,magenta
119,24,222,violeta
136,29,243,violeta
139,37,255,violeta
142,48,253,violeta
154,48,251,violeta
111,22,219,violeta
121,27,228,violeta
142,28,255,violeta
145,26,255,violeta
133,13,246,violeta
113,0,209,violeta
113,0,236,violeta
125,0,251,violeta
137,7,246,violeta
120,0,255,violeta
118,4,225,violeta
124,0,231,violeta
122,0,250,violeta
119,6,245,violeta
127,5,255,violeta
111,6,206,violeta
109,1,237,violeta
121,9,250,violeta
138,3,254,violeta
136,3,255,violeta
53,8,89,violeta_oscuro
75,26,101,violeta_oscuro
75,11,140,violeta_oscuro
86,22,155,violeta_oscuro
116,25,174,violeta_oscuro
62,9,83,violeta_oscuro
70,2,116,violeta_oscuro
75,7,135,violeta_oscuro
90,17,157,violeta_oscuro
108,13,171,violeta_oscuro
52,10,97,violeta_oscuro
62,0,119,violeta_oscuro
65,10,122,violeta_oscuro
93,10,144,violeta_oscuro
107,2,163,violeta_oscuro
52,9,85,violeta_oscuro
56,6,100,violeta_oscuro
71,0,127,violeta_oscuro
90,7,149,violeta_oscuro
101,5,164,violeta_oscuro
54,1,88,violeta_oscuro
56,0,102,violeta_oscuro
64,10,123,violeta_oscuro
77,5,153,violeta_oscuro
100,0,165,violeta_oscuro
218,213,209,gris_claro
231,222,221,blanco
246,245,241,blanco
249,255,255,blanco
255,245,255,blanco
213,216,202,gris_claro
239,229,226,blanco
255,255,251,blanco
255,255,254,blanco
249,246,255,blanco
186,188,204,gris_claro
207,212,231,blanco
233,224,255,blanco
243,225,252,blanco
231,238,255,blanco
185,174,206,gris_claro
201,197,235,gris_claro
218,220,249,gris_claro
213,207,255,gris_claro
224,206,255,gris_claro
173,171,203,lavanda
180,181,221,lavanda
182,200,255,lavanda
191,206,255,lavanda
188,205,246,lavanda
196,130,190,violeta_claro
208,155,220,violeta_claro
229,160,236,violeta_claro
248,176,249,violeta_claro
255,167,247,violeta_claro
209,127,192,violeta_claro
211,132,215,violeta_claro
241,146,229,violeta_claro
255,160,247,violeta_claro
255,157,255,violeta_claro
191,110,204,violeta_claro
216,110,218,violeta_claro
244,138,235,violeta_claro
248,146,255,violeta_claro
246,144,255,violeta_claro
193,87,208,violeta_claro
216,100,208,violeta_claro
228,120,238,violeta_claro
255,125,255,violeta_claro
247,120,255,violeta_claro
209,79,191,violeta_claro
210,93,219,violeta_claro
228,102,245,violeta_claro
247,97,251,violeta_claro
248,109,255,violeta_claro
10,10,8,negro
6,0,0,negro
2,2,9,negro
13,14,16,negro
42,30,47,gris
7,5,0,negro
0,0,9,negro
7,1,0,negro
22,27,28,negro
32,31,39,gris
10,0,0,negro
0,1,0,negro
0,0,8,negro
15,25,17,negro
35,30,41,gris
0,0,9,negro
1,3,9,negro
2,0,0,negro
27,11,14,negro
38,39,37,gris
0,0,0,negro
5,9,3,negro
0,3,1,negro
25,21,18,negro
31,25,30,gris
91,86,99,gris
105,103,100,gris
127,132,130,gris
156,141,150,gris
167,159,165,gris
97,99,90,gris
111,111,118,gris
127,121,134,gris
146,153,152,gris
159,158,172,gris
95,92,81,gris
101,113,101,gris
134,131,136,gris
142,153,140,gris
158,166,174,gris
80,92,86,gris
102,99,104,gris
124,128,112,gris
146,131,143,gris
164,148,156,gris
87,85,71,gris
112,91,96,gris
126,109,100,gris
143,126,125,gris
173,148,143,gris
150,149,152,gris
179,165,175,gris
192,192,199,gris_claro
207,209,220,gris_claro
221,226,232,blanco
159,144,146,gris
176,180,174,gris
200,188,186,gris_claro
217,205,205,gris_claro
236,227,236,blanco
156,149,148,gris
173,176,170,gris
184,199,200,gris_claro
214,214,218,gris_claro
221,227,225,blanco
158,139,150,gris
169,163,150,gris
199,167,181,gris_claro
215,190,188,gris_claro
235,216,221,blanco
148,135,132,gris
167,145,147,gris
188,156,168,gris_claro
217,170,171,gris_claro
221,188,185,gris_claro
219,210,210,gris_claro
244,228,234,blanco
255,253,255,blanco
255,247,255,blanco
254,255,255,blanco
213,217,206,gris_claro
243,234,239,blanco
249,249,246,blanco
255,249,246,blanco
255,250,255,blanco
215,222,208,gris_claro
237,231,233,blanco
255,253,246,blanco
254,255,255,blanco
246,245,248,blanco
221,206,204,gris_claro
226,218,209,blanco
252,239,231,blanco
245,230,234,blanco
252,244,240,blanco
216,192,184,gris_claro
232,198,200,gris_claro
255,219,221,gris_claro
255,216,223,gris_claro
249,224,220,gris_claro
